,movie,year,imdb,metascore,votes,n_imdb
2507,Dead Man,1995,7.7,62,82673,77.0
2508,Dead Man Walking,1995,7.5,80,82001,75.0
2509,The Quick and the Dead,1995,6.4,49,77835,64.0
2510,Get Shorty,1995,6.9,82,70289,69.0
2511,Tommy Boy,1995,7.1,46,70031,71.0
2512,Species,1995,5.8,49,68364,58.0
2513,Kids,1995,7.0,63,66851,70.0
2514,The Bridges of Madison County,1995,7.6,66,64520,76.0
2515,Strange Days,1995,7.2,66,61858,72.0
2516,The City of Lost Children,1995,7.6,73,61120,76.0
2517,Hackers,1995,6.2,46,60953,62.0
2518,Se7en,1995,8.6,65,1260385,86.0
2519,The Usual Suspects,1995,8.6,77,891345,86.0
2520,Braveheart,1995,8.4,68,879000,84.0
2521,Toy Story,1995,8.3,95,775770,83.0
2522,Twelve Monkeys,1995,8.0,74,534506,80.0
2523,Heat,1995,8.2,76,516292,82.0
2524,Casino,1995,8.2,73,407463,82.0
2525,Die Hard with a Vengeance,1995,7.6,58,337170,76.0
2526,Jumanji,1995,6.9,39,264326,69.0
2527,Apollo 13,1995,7.6,77,241751,76.0
2528,Before Sunrise,1995,8.1,77,233642,81.0
2529,GoldenEye,1995,7.2,65,220697,72.0
2530,Batman Forever,1995,5.4,51,217471,54.0
2531,Bad Boys,1995,6.9,41,203906,69.0
2532,Ace Ventura: When Nature Calls,1995,6.4,45,185172,64.0
2533,Waterworld,1995,6.2,56,164278,62.0
2534,Desperado,1995,7.2,55,157792,72.0
2535,Clueless,1995,6.8,68,153324,68.0
2536,Pocahontas,1995,6.7,58,148794,67.0
2537,Billy Madison,1995,6.4,16,119735,64.0
2538,Ghost in the Shell,1995,8.0,76,113047,80.0
2539,Mallrats,1995,7.2,41,108098,72.0
2540,Babe,1995,6.8,83,107535,68.0
2541,Leaving Las Vegas,1995,7.5,82,105611,75.0
2542,Casper,1995,6.1,49,104926,61.0
2543,Outbreak,1995,6.6,65,99798,66.0
2544,The Basketball Diaries,1995,7.3,46,92873,73.0
2545,Crimson Tide,1995,7.3,66,92547,73.0
2546,Mortal Kombat,1995,5.8,58,92541,58.0
2547,Sense and Sensibility,1995,7.7,84,90723,77.0
2548,Friday,1995,7.3,54,89494,73.0
2549,While You Were Sleeping,1995,6.7,67,83207,67.0
2550,Dead Man,1995,7.7,62,82673,77.0
2551,Dead Man Walking,1995,7.5,80,82001,75.0
2552,The Quick and the Dead,1995,6.4,49,77835,64.0
2553,Get Shorty,1995,6.9,82,70289,69.0
2554,Tommy Boy,1995,7.1,46,70031,71.0
2555,Species,1995,5.8,49,68364,58.0
2556,Kids,1995,7.0,63,66851,70.0
2557,The Bridges of Madison County,1995,7.6,66,64520,76.0
2558,Strange Days,1995,7.2,66,61858,72.0
2559,The City of Lost Children,1995,7.6,73,61120,76.0
2560,Hackers,1995,6.2,46,60953,62.0
2561,Se7en,1995,8.6,65,1260385,86.0
2562,The Usual Suspects,1995,8.6,77,891345,86.0
2563,Braveheart,1995,8.4,68,879000,84.0
2564,Toy Story,1995,8.3,95,775770,83.0
2565,Twelve Monkeys,1995,8.0,74,534506,80.0
2566,Heat,1995,8.2,76,516292,82.0
2567,Casino,1995,8.2,73,407463,82.0
2568,Die Hard with a Vengeance,1995,7.6,58,337170,76.0
2569,Jumanji,1995,6.9,39,264326,69.0
2570,Apollo 13,1995,7.6,77,241751,76.0
2571,Before Sunrise,1995,8.1,77,233642,81.0
2572,GoldenEye,1995,7.2,65,220697,72.0
2573,Batman Forever,1995,5.4,51,217471,54.0
2574,Bad Boys,1995,6.9,41,203906,69.0
2575,Ace Ventura: When Nature Calls,1995,6.4,45,185172,64.0
2576,Waterworld,1995,6.2,56,164278,62.0
2577,Desperado,1995,7.2,55,157792,72.0
2578,Clueless,1995,6.8,68,153324,68.0
2579,Pocahontas,1995,6.7,58,148794,67.0
2580,Billy Madison,1995,6.4,16,119735,64.0
2581,Ghost in the Shell,1995,8.0,76,113047,80.0
2582,Mallrats,1995,7.2,41,108098,72.0
2583,Babe,1995,6.8,83,107535,68.0
2584,Leaving Las Vegas,1995,7.5,82,105611,75.0
2585,Casper,1995,6.1,49,104926,61.0
2586,Outbreak,1995,6.6,65,99798,66.0
2587,The Basketball Diaries,1995,7.3,46,92873,73.0
2588,Crimson Tide,1995,7.3,66,92547,73.0
2589,Mortal Kombat,1995,5.8,58,92541,58.0
2590,Sense and Sensibility,1995,7.7,84,90723,77.0
2591,Friday,1995,7.3,54,89494,73.0
2592,While You Were Sleeping,1995,6.7,67,83207,67.0
2593,Dead Man,1995,7.7,62,82673,77.0
2594,Dead Man Walking,1995,7.5,80,82001,75.0
2595,The Quick and the Dead,1995,6.4,49,77835,64.0
2596,Get Shorty,1995,6.9,82,70289,69.0
2597,Tommy Boy,1995,7.1,46,70031,71.0
2598,Species,1995,5.8,49,68364,58.0
2599,Kids,1995,7.0,63,66851,70.0
2600,The Bridges of Madison County,1995,7.6,66,64520,76.0
2601,Strange Days,1995,7.2,66,61858,72.0
2602,The City of Lost Children,1995,7.6,73,61120,76.0
2603,Hackers,1995,6.2,46,60953,62.0
2604,Trainspotting,1996,8.2,83,581556,82.0
2605,Fargo,1996,8.1,85,553155,81.0
2606,Independence Day,1996,7.0,59,489388,70.0
2607,Mission: Impossible,1996,7.1,59,354324,71.0
2608,The Rock,1996,7.4,58,290065,74.0
2609,Scream,1996,7.2,65,257613,72.0
2610,From Dusk Till Dawn,1996,7.3,48,256434,73.0
2611,Jerry Maguire,1996,7.3,77,219712,73.0
2612,Mars Attacks!,1996,6.3,52,194464,63.0
2613,Romeo + Juliet,1996,6.8,60,192738,68.0
2614,Happy Gilmore,1996,7.0,31,178231,70.0
2615,Sleepers,1996,7.6,49,173406,76.0
2616,The English Patient,1996,7.4,87,164021,74.0
2617,Primal Fear,1996,7.7,47,160915,77.0
2618,Twister,1996,6.3,68,160475,63.0
2619,The Cable Guy,1996,6.1,56,139765,61.0
2620,Space Jam,1996,6.4,59,138375,64.0
2621,The Hunchback of Notre Dame,1996,6.9,74,124868,69.0
2622,A Time to Kill,1996,7.4,54,117548,74.0
2623,Ransom,1996,6.6,60,110110,66.0
2624,Star Trek: First Contact,1996,7.6,71,109106,76.0
2625,Matilda,1996,6.9,72,108856,69.0
2626,The Nutty Professor,1996,5.6,62,100277,56.0
2627,Eraser,1996,6.1,56,95744,61.0
2628,101 Dalmatians,1996,5.7,49,90530,57.0
2629,Broken Arrow,1996,6.0,61,85027,60.0
2630,Jingle All the Way,1996,5.5,34,83003,55.0
2631,The People vs. Larry Flynt,1996,7.3,79,81191,73.0
2632,Sling Blade,1996,8.0,84,80806,80.0
2633,The Frighteners,1996,7.1,52,76050,71.0
2634,The Birdcage,1996,7.0,72,71850,70.0
2635,Kingpin,1996,6.9,43,71109,69.0
2636,Swingers,1996,7.3,71,70345,73.0
2637,Phenomenon,1996,6.4,41,70319,64.0
2638,The Long Kiss Goodnight,1996,6.8,44,66975,68.0
2639,Bottle Rocket,1996,7.0,66,63465,70.0
2640,Escape from L.A.,1996,5.7,54,63207,57.0
2641,That Thing You Do!,1996,6.9,71,56375,69.0
2642,Breaking the Waves,1996,7.9,76,56362,79.0
2643,Jack,1996,5.8,31,52063,58.0
2644,Trainspotting,1996,8.2,83,581556,82.0
2645,Fargo,1996,8.1,85,553155,81.0
2646,Independence Day,1996,7.0,59,489388,70.0
2647,Mission: Impossible,1996,7.1,59,354324,71.0
2648,The Rock,1996,7.4,58,290065,74.0
2649,Scream,1996,7.2,65,257613,72.0
2650,From Dusk Till Dawn,1996,7.3,48,256434,73.0
2651,Jerry Maguire,1996,7.3,77,219712,73.0
2652,Mars Attacks!,1996,6.3,52,194464,63.0
2653,Romeo + Juliet,1996,6.8,60,192738,68.0
2654,Happy Gilmore,1996,7.0,31,178231,70.0
2655,Sleepers,1996,7.6,49,173406,76.0
2656,The English Patient,1996,7.4,87,164021,74.0
2657,Primal Fear,1996,7.7,47,160915,77.0
2658,Twister,1996,6.3,68,160475,63.0
2659,The Cable Guy,1996,6.1,56,139765,61.0
2660,Space Jam,1996,6.4,59,138375,64.0
2661,The Hunchback of Notre Dame,1996,6.9,74,124868,69.0
2662,A Time to Kill,1996,7.4,54,117548,74.0
2663,Ransom,1996,6.6,60,110110,66.0
2664,Star Trek: First Contact,1996,7.6,71,109106,76.0
2665,Matilda,1996,6.9,72,108856,69.0
2666,The Nutty Professor,1996,5.6,62,100277,56.0
2667,Eraser,1996,6.1,56,95744,61.0
2668,101 Dalmatians,1996,5.7,49,90530,57.0
2669,Broken Arrow,1996,6.0,61,85027,60.0
2670,Jingle All the Way,1996,5.5,34,83003,55.0
2671,The People vs. Larry Flynt,1996,7.3,79,81191,73.0
2672,Sling Blade,1996,8.0,84,80806,80.0
2673,The Frighteners,1996,7.1,52,76050,71.0
2674,The Birdcage,1996,7.0,72,71850,70.0
2675,Kingpin,1996,6.9,43,71109,69.0
2676,Swingers,1996,7.3,71,70345,73.0
2677,Phenomenon,1996,6.4,41,70319,64.0
2678,The Long Kiss Goodnight,1996,6.8,44,66975,68.0
2679,Bottle Rocket,1996,7.0,66,63465,70.0
2680,Escape from L.A.,1996,5.7,54,63207,57.0
2681,That Thing You Do!,1996,6.9,71,56375,69.0
2682,Breaking the Waves,1996,7.9,76,56362,79.0
2683,Jack,1996,5.8,31,52063,58.0
2684,Trainspotting,1996,8.2,83,581556,82.0
2685,Fargo,1996,8.1,85,553155,81.0
2686,Independence Day,1996,7.0,59,489388,70.0
2687,Mission: Impossible,1996,7.1,59,354324,71.0
2688,The Rock,1996,7.4,58,290065,74.0
2689,Scream,1996,7.2,65,257613,72.0
2690,From Dusk Till Dawn,1996,7.3,48,256434,73.0
2691,Jerry Maguire,1996,7.3,77,219712,73.0
2692,Mars Attacks!,1996,6.3,52,194464,63.0
2693,Romeo + Juliet,1996,6.8,60,192738,68.0
2694,Happy Gilmore,1996,7.0,31,178231,70.0
2695,Sleepers,1996,7.6,49,173406,76.0
2696,The English Patient,1996,7.4,87,164021,74.0
2697,Primal Fear,1996,7.7,47,160915,77.0
2698,Twister,1996,6.3,68,160475,63.0
2699,The Cable Guy,1996,6.1,56,139765,61.0
2700,Space Jam,1996,6.4,59,138375,64.0
2701,The Hunchback of Notre Dame,1996,6.9,74,124868,69.0
2702,A Time to Kill,1996,7.4,54,117548,74.0
2703,Ransom,1996,6.6,60,110110,66.0
2704,Star Trek: First Contact,1996,7.6,71,109106,76.0
2705,Matilda,1996,6.9,72,108856,69.0
2706,The Nutty Professor,1996,5.6,62,100277,56.0
2707,Eraser,1996,6.1,56,95744,61.0
2708,101 Dalmatians,1996,5.7,49,90530,57.0
2709,Broken Arrow,1996,6.0,61,85027,60.0
2710,Jingle All the Way,1996,5.5,34,83003,55.0
2711,The People vs. Larry Flynt,1996,7.3,79,81191,73.0
2712,Sling Blade,1996,8.0,84,80806,80.0
2713,The Frighteners,1996,7.1,52,76050,71.0
2714,The Birdcage,1996,7.0,72,71850,70.0
2715,Kingpin,1996,6.9,43,71109,69.0
2716,Swingers,1996,7.3,71,70345,73.0
2717,Phenomenon,1996,6.4,41,70319,64.0
2718,The Long Kiss Goodnight,1996,6.8,44,66975,68.0
2719,Bottle Rocket,1996,7.0,66,63465,70.0
2720,Escape from L.A.,1996,5.7,54,63207,57.0
2721,That Thing You Do!,1996,6.9,71,56375,69.0
2722,Breaking the Waves,1996,7.9,76,56362,79.0
2723,Jack,1996,5.8,31,52063,58.0
2724,Trainspotting,1996,8.2,83,581556,82.0
2725,Fargo,1996,8.1,85,553155,81.0
2726,Independence Day,1996,7.0,59,489388,70.0
2727,Mission: Impossible,1996,7.1,59,354324,71.0
2728,The Rock,1996,7.4,58,290065,74.0
2729,Scream,1996,7.2,65,257613,72.0
2730,From Dusk Till Dawn,1996,7.3,48,256434,73.0
2731,Jerry Maguire,1996,7.3,77,219712,73.0
2732,Mars Attacks!,1996,6.3,52,194464,63.0
2733,Romeo + Juliet,1996,6.8,60,192738,68.0
2734,Happy Gilmore,1996,7.0,31,178231,70.0
2735,Sleepers,1996,7.6,49,173406,76.0
2736,The English Patient,1996,7.4,87,164021,74.0
2737,Primal Fear,1996,7.7,47,160915,77.0
2738,Twister,1996,6.3,68,160475,63.0
2739,The Cable Guy,1996,6.1,56,139765,61.0
2740,Space Jam,1996,6.4,59,138375,64.0
2741,The Hunchback of Notre Dame,1996,6.9,74,124868,69.0
2742,A Time to Kill,1996,7.4,54,117548,74.0
2743,Ransom,1996,6.6,60,110110,66.0
2744,Star Trek: First Contact,1996,7.6,71,109106,76.0
2745,Matilda,1996,6.9,72,108856,69.0
2746,The Nutty Professor,1996,5.6,62,100277,56.0
2747,Eraser,1996,6.1,56,95744,61.0
2748,101 Dalmatians,1996,5.7,49,90530,57.0
2749,Broken Arrow,1996,6.0,61,85027,60.0
2750,Jingle All the Way,1996,5.5,34,83003,55.0
2751,The People vs. Larry Flynt,1996,7.3,79,81191,73.0
2752,Sling Blade,1996,8.0,84,80806,80.0
2753,The Frighteners,1996,7.1,52,76050,71.0
2754,The Birdcage,1996,7.0,72,71850,70.0
2755,Kingpin,1996,6.9,43,71109,69.0
2756,Swingers,1996,7.3,71,70345,73.0
2757,Phenomenon,1996,6.4,41,70319,64.0
2758,The Long Kiss Goodnight,1996,6.8,44,66975,68.0
2759,Bottle Rocket,1996,7.0,66,63465,70.0
2760,Escape from L.A.,1996,5.7,54,63207,57.0
2761,That Thing You Do!,1996,6.9,71,56375,69.0
2762,Breaking the Waves,1996,7.9,76,56362,79.0
2763,Jack,1996,5.8,31,52063,58.0
2764,Titanic,1997,7.8,75,938596,78.0
2765,Good Will Hunting,1997,8.3,70,752114,83.0
2766,Life Is Beautiful,1997,8.6,59,540333,86.0
2767,L.A. Confidential,1997,8.3,90,486509,83.0
2768,Men in Black,1997,7.3,71,468697,73.0
2769,The Fifth Element,1997,7.7,52,396752,77.0
2770,The Lost World: Jurassic Park,1997,6.5,59,338469,65.0
2771,Face/Off,1997,7.3,82,321901,73.0
2772,The Game,1997,7.8,61,310502,78.0
2773,The Devil's Advocate,1997,7.5,60,297947,75.0
2774,Princess Mononoke,1997,8.4,76,287661,84.0
2775,Jackie Brown,1997,7.5,64,276766,75.0
2776,Gattaca,1997,7.8,64,256898,78.0
2777,Liar Liar,1997,6.9,70,255772,69.0
2778,Con Air,1997,6.8,52,254379,68.0
2779,Donnie Brasco,1997,7.8,76,252770,78.0
2780,As Good as It Gets,1997,7.7,67,251148,77.0
2781,Starship Troopers,1997,7.2,51,248821,72.0
2782,Contact,1997,7.4,62,232732,74.0
2783,Boogie Nights,1997,7.9,85,217426,79.0
2784,Batman & Robin,1997,3.7,28,215302,37.0
2785,Alien: Resurrection,1997,6.2,63,207795,62.0
2786,Austin Powers: International Man of Mystery,1997,7.0,51,204237,70.0
2787,Cube,1997,7.3,61,187808,73.0
2788,Hercules,1997,7.3,74,178250,73.0
2789,Tomorrow Never Dies,1997,6.5,52,166770,65.0
2790,Air Force One,1997,6.5,61,165382,65.0
2791,Scream 2,1997,6.1,63,142714,61.0
2792,Event Horizon,1997,6.7,35,141467,67.0
2793,Chasing Amy,1997,7.3,71,124377,73.0
2794,I Know What You Did Last Summer,1997,5.7,52,121830,57.0
2795,Lost Highway,1997,7.6,52,116750,76.0
2796,My Best Friend's Wedding,1997,6.3,50,115394,63.0
2797,Seven Years in Tibet,1997,7.0,55,111137,70.0
2798,Anastasia,1997,7.1,59,101575,71.0
2799,The Jackal,1997,6.4,36,98541,64.0
2800,The Full Monty,1997,7.2,75,91705,72.0
2801,Bean,1997,6.4,52,88354,64.0
2802,Conspiracy Theory,1997,6.7,49,86495,67.0
2803,Anaconda,1997,4.7,37,85966,47.0
2804,Grosse Pointe Blank,1997,7.4,76,81489,74.0
2805,Cop Land,1997,6.9,64,78520,69.0
2806,Flubber,1997,5.2,37,76825,52.0
2807,Wag the Dog,1997,7.1,73,73908,71.0
2808,Dante's Peak,1997,5.9,43,72539,59.0
2809,Speed 2: Cruise Control,1997,3.8,23,68589,38.0
2810,Titanic,1997,7.8,75,938596,78.0
2811,Good Will Hunting,1997,8.3,70,752114,83.0
2812,Life Is Beautiful,1997,8.6,59,540333,86.0
2813,L.A. Confidential,1997,8.3,90,486509,83.0
2814,Men in Black,1997,7.3,71,468697,73.0
2815,The Fifth Element,1997,7.7,52,396752,77.0
2816,The Lost World: Jurassic Park,1997,6.5,59,338469,65.0
2817,Face/Off,1997,7.3,82,321901,73.0
2818,The Game,1997,7.8,61,310502,78.0
2819,The Devil's Advocate,1997,7.5,60,297947,75.0
2820,Princess Mononoke,1997,8.4,76,287661,84.0
2821,Jackie Brown,1997,7.5,64,276766,75.0
2822,Gattaca,1997,7.8,64,256898,78.0
2823,Liar Liar,1997,6.9,70,255772,69.0
2824,Con Air,1997,6.8,52,254379,68.0
2825,Donnie Brasco,1997,7.8,76,252770,78.0
2826,As Good as It Gets,1997,7.7,67,251148,77.0
2827,Starship Troopers,1997,7.2,51,248821,72.0
2828,Contact,1997,7.4,62,232732,74.0
2829,Boogie Nights,1997,7.9,85,217426,79.0
2830,Batman & Robin,1997,3.7,28,215302,37.0
2831,Alien: Resurrection,1997,6.2,63,207795,62.0
2832,Austin Powers: International Man of Mystery,1997,7.0,51,204237,70.0
2833,Cube,1997,7.3,61,187808,73.0
2834,Hercules,1997,7.3,74,178250,73.0
2835,Tomorrow Never Dies,1997,6.5,52,166770,65.0
2836,Air Force One,1997,6.5,61,165382,65.0
2837,Scream 2,1997,6.1,63,142714,61.0
2838,Event Horizon,1997,6.7,35,141467,67.0
2839,Chasing Amy,1997,7.3,71,124377,73.0
2840,I Know What You Did Last Summer,1997,5.7,52,121830,57.0
2841,Lost Highway,1997,7.6,52,116750,76.0
2842,My Best Friend's Wedding,1997,6.3,50,115394,63.0
2843,Seven Years in Tibet,1997,7.0,55,111137,70.0
2844,Anastasia,1997,7.1,59,101575,71.0
2845,The Jackal,1997,6.4,36,98541,64.0
2846,The Full Monty,1997,7.2,75,91705,72.0
2847,Bean,1997,6.4,52,88354,64.0
2848,Conspiracy Theory,1997,6.7,49,86495,67.0
2849,Anaconda,1997,4.7,37,85966,47.0
2850,Grosse Pointe Blank,1997,7.4,76,81489,74.0
2851,Cop Land,1997,6.9,64,78520,69.0
2852,Flubber,1997,5.2,37,76825,52.0
2853,Wag the Dog,1997,7.1,73,73908,71.0
2854,Dante's Peak,1997,5.9,43,72539,59.0
2855,Speed 2: Cruise Control,1997,3.8,23,68589,38.0
2856,Titanic,1997,7.8,75,938596,78.0
2857,Good Will Hunting,1997,8.3,70,752114,83.0
2858,Life Is Beautiful,1997,8.6,59,540333,86.0
2859,L.A. Confidential,1997,8.3,90,486509,83.0
2860,Men in Black,1997,7.3,71,468697,73.0
2861,The Fifth Element,1997,7.7,52,396752,77.0
2862,The Lost World: Jurassic Park,1997,6.5,59,338469,65.0
2863,Face/Off,1997,7.3,82,321901,73.0
2864,The Game,1997,7.8,61,310502,78.0
2865,The Devil's Advocate,1997,7.5,60,297947,75.0
2866,Princess Mononoke,1997,8.4,76,287661,84.0
2867,Jackie Brown,1997,7.5,64,276766,75.0
2868,Gattaca,1997,7.8,64,256898,78.0
2869,Liar Liar,1997,6.9,70,255772,69.0
2870,Con Air,1997,6.8,52,254379,68.0
2871,Donnie Brasco,1997,7.8,76,252770,78.0
2872,As Good as It Gets,1997,7.7,67,251148,77.0
2873,Starship Troopers,1997,7.2,51,248821,72.0
2874,Contact,1997,7.4,62,232732,74.0
2875,Boogie Nights,1997,7.9,85,217426,79.0
2876,Batman & Robin,1997,3.7,28,215302,37.0
2877,Alien: Resurrection,1997,6.2,63,207795,62.0
2878,Austin Powers: International Man of Mystery,1997,7.0,51,204237,70.0
2879,Cube,1997,7.3,61,187808,73.0
2880,Hercules,1997,7.3,74,178250,73.0
2881,Tomorrow Never Dies,1997,6.5,52,166770,65.0
2882,Air Force One,1997,6.5,61,165382,65.0
2883,Scream 2,1997,6.1,63,142714,61.0
2884,Event Horizon,1997,6.7,35,141467,67.0
2885,Chasing Amy,1997,7.3,71,124377,73.0
2886,I Know What You Did Last Summer,1997,5.7,52,121830,57.0
2887,Lost Highway,1997,7.6,52,116750,76.0
2888,My Best Friend's Wedding,1997,6.3,50,115394,63.0
2889,Seven Years in Tibet,1997,7.0,55,111137,70.0
2890,Anastasia,1997,7.1,59,101575,71.0
2891,The Jackal,1997,6.4,36,98541,64.0
2892,The Full Monty,1997,7.2,75,91705,72.0
2893,Bean,1997,6.4,52,88354,64.0
2894,Conspiracy Theory,1997,6.7,49,86495,67.0
2895,Anaconda,1997,4.7,37,85966,47.0
2896,Grosse Pointe Blank,1997,7.4,76,81489,74.0
2897,Cop Land,1997,6.9,64,78520,69.0
2898,Flubber,1997,5.2,37,76825,52.0
2899,Wag the Dog,1997,7.1,73,73908,71.0
2900,Dante's Peak,1997,5.9,43,72539,59.0
2901,Speed 2: Cruise Control,1997,3.8,23,68589,38.0
2902,Titanic,1997,7.8,75,938596,78.0
2903,Good Will Hunting,1997,8.3,70,752114,83.0
2904,Life Is Beautiful,1997,8.6,59,540333,86.0
2905,L.A. Confidential,1997,8.3,90,486509,83.0
2906,Men in Black,1997,7.3,71,468697,73.0
2907,The Fifth Element,1997,7.7,52,396752,77.0
2908,The Lost World: Jurassic Park,1997,6.5,59,338469,65.0
2909,Face/Off,1997,7.3,82,321901,73.0
2910,The Game,1997,7.8,61,310502,78.0
2911,The Devil's Advocate,1997,7.5,60,297947,75.0
2912,Princess Mononoke,1997,8.4,76,287661,84.0
2913,Jackie Brown,1997,7.5,64,276766,75.0
2914,Gattaca,1997,7.8,64,256898,78.0
2915,Liar Liar,1997,6.9,70,255772,69.0
2916,Con Air,1997,6.8,52,254379,68.0
2917,Donnie Brasco,1997,7.8,76,252770,78.0
2918,As Good as It Gets,1997,7.7,67,251148,77.0
2919,Starship Troopers,1997,7.2,51,248821,72.0
2920,Contact,1997,7.4,62,232732,74.0
2921,Boogie Nights,1997,7.9,85,217426,79.0
2922,Batman & Robin,1997,3.7,28,215302,37.0
2923,Alien: Resurrection,1997,6.2,63,207795,62.0
2924,Austin Powers: International Man of Mystery,1997,7.0,51,204237,70.0
2925,Cube,1997,7.3,61,187808,73.0
2926,Hercules,1997,7.3,74,178250,73.0
2927,Tomorrow Never Dies,1997,6.5,52,166770,65.0
2928,Air Force One,1997,6.5,61,165382,65.0
2929,Scream 2,1997,6.1,63,142714,61.0
2930,Event Horizon,1997,6.7,35,141467,67.0
2931,Chasing Amy,1997,7.3,71,124377,73.0
2932,I Know What You Did Last Summer,1997,5.7,52,121830,57.0
2933,Lost Highway,1997,7.6,52,116750,76.0
2934,My Best Friend's Wedding,1997,6.3,50,115394,63.0
2935,Seven Years in Tibet,1997,7.0,55,111137,70.0
2936,Anastasia,1997,7.1,59,101575,71.0
2937,The Jackal,1997,6.4,36,98541,64.0
2938,The Full Monty,1997,7.2,75,91705,72.0
2939,Bean,1997,6.4,52,88354,64.0
2940,Conspiracy Theory,1997,6.7,49,86495,67.0
2941,Anaconda,1997,4.7,37,85966,47.0
2942,Grosse Pointe Blank,1997,7.4,76,81489,74.0
2943,Cop Land,1997,6.9,64,78520,69.0
2944,Flubber,1997,5.2,37,76825,52.0
2945,Wag the Dog,1997,7.1,73,73908,71.0
2946,Dante's Peak,1997,5.9,43,72539,59.0
2947,Speed 2: Cruise Control,1997,3.8,23,68589,38.0
